Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 5, 'n_head': 7, 'n_kv_head': 7, 'n_embd': 448, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 3,670,016
  value_embeds            : 11,010,048
  lm_head                 : 3,670,016
  transformer_matrices    : 11,039,728
  scalars                 : 10
  total                   : 29,389,818
Estimated FLOPs per token: 1.047735e+08
Scaling AdamW LRs by 1/sqrt(448/768) = 1.309307
Time budget: 300s
Gradient accumulation steps: 1
step 00000 (0.0%) | loss: 9.011097 | lrm: 1.00 | dt: 18429ms | tok/sec: 3,556 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00855 (51.0%) | loss: 3.369946 | lrm: 0.50 | dt: 183ms | tok/sec: 358,733 | mfu: 3.8% | epoch: 1 | remaining: 147s    
step 00856 (51.1%) | loss: 3.366802 | lrm: 0.50 | dt: 181ms | tok/sec: 362,709 | mfu: 3.8% | epoch: 1 | remaining: 147s    
step 00857 (51.1%) | loss: 3.371783 | lrm: 0.50 | dt: 184ms | tok/sec: 356,745 | mfu: 3.8% | epoch: 1 | remaining: 146s    
step 00858 (51.2%) | loss: 3.377769 | lrm: 0.50 | dt: 183ms | tok/sec: 357,854 | mfu: 3.8% | epoch: 1 | remaining: 146s    
step 00859 (51.2%) | loss: 3.363570 | lrm: 0.50 | dt: 184ms | tok/sec: 355,838 | mfu: 3.8% | epoch: 1 | remaining: 146s    
step 00860 (51.3%) | loss: 3.366144 | lrm: 0.50 | dt: 186ms | tok/sec: 352,424 | mfu: 3.7% | epoch: 1 | remaining: 146s    
step 00861 (51.4%) | loss: 3.358140 | lrm: 0.50 | dt: 181ms | tok/sec: 361,409 | mfu: 3.8% | epoch: 1 | remaining: 146s    
step 00862 (51.4%) | loss: 3.360750 | lrm: 0.50 | dt: 181ms | tok/sec: 361,632 | mfu: 3.8% | epoch: 1 | remaining: 146s    
step 00863 (51.5%) | loss: 3.354270 | lrm: 0.50 | dt: 182ms | tok/sec: 360,690 | mfu: 3.8% | epoch: 1 | remaining: 145s    
step 00864 (51.6%) | loss: 3.363039 | lrm: 0.49 | dt: 182ms | tok/sec: 359,699 | mfu: 3.8% | epoch: 1 | remaining: 145s    
step 00865 (51.6%) | loss: 3.365840 | lrm: 0.49 | dt: 184ms | tok/sec: 356,472 | mfu: 3.8% | epoch: 1 | remaining: 145s    
step 00866 (51.7%) | loss: 3.363256 | lrm: 0.49 | dt: 183ms | tok/sec: 358,256 | mfu: 3.8% | epoch: 1 | remaining: 145s    
step 00867 (51.7%) | loss: 3.362455 | lrm: 0.49 | dt: 184ms | tok/sec: 356,573 | mfu: 3.8% | epoch: 1 | remaining: 145s    
step 00868 (51.8%) | loss: 3.371437 | lrm: 0.49 | dt: 182ms | tok/sec: 359,673 | mfu: 3.8% | epoch: 1 | remaining: 144s    
step 00869 (51.9%) | loss: 3.373220 | lrm: 0.49 | dt: 183ms | tok/sec: 358,556 | mfu: 3.8% | epoch: 1 | remaining: 144s    
step 00870 (51.9%) | loss: 3.369726 | lrm: 0.49 | dt: 184ms | tok/sec: 356,899 | mfu: 3.8% | epoch: 1 | remaining: 144s    
step 00871 (52.0%) | loss: 3.369116 | lrm: 0.49 | dt: 182ms | tok/sec: 359,240 | mfu: 3.8% | epoch: 1 | remaining: 144s    
step 00872 (52.0%) | loss: 3.377825 | lrm: 0.49 | dt: 184ms | tok/sec: 356,362 | mfu: 3.8% | epoch: 1 | remaining: 144s    
step 00873 (52.1%) | loss: 3.379195 | lrm: 0.49 | dt: 185ms | tok/sec: 355,151 | mfu: 3.8% | epoch: 1 | remaining: 144s    
step 00874 (52.2%) | loss: 3.376944 | lrm: 0.49 | dt: 185ms | tok/sec: 354,582 | mfu: 3.8% | epoch: 1 | remaining: 143s    
step 00875 (52.2%) | loss: 3.369273 | lrm: 0.49 | dt: 180ms | tok/sec: 364,703 | mfu: 3.9% | epoch: 1 | remaining: 143s    
step 00876 (52.3%) | loss: 3.362610 | lrm: 0.49 | dt: 183ms | tok/sec: 357,790 | mfu: 3.8% | epoch: 1 | remaining: 143s    
step 00877 (52.3%) | loss: 3.358836 | lrm: 0.49 | dt: 183ms | tok/sec: 357,499 | mfu: 3.8% | epoch: 1 | remaining: 143s    
step 00878 (52.4%) | loss: 3.354590 | lrm: 0.49 | dt: 185ms | tok/sec: 353,596 | mfu: 3.7% | epoch: 1 | remaining: 143s    
step 00879 (52.5%) | loss: 3.350400 | lrm: 0.49 | dt: 187ms | tok/sec: 350,793 | mfu: 3.7% | epoch: 1 | remaining: 142s    
step 00880 (52.5%) | loss: 3.354314 | lrm: 0.49 | dt: 180ms | tok/sec: 364,302 | mfu: 3.9% | epoch: 1 | remaining: 142s    
step 00881 (52.6%) | loss: 3.357485 | lrm: 0.48 | dt: 181ms | tok/sec: 361,775 | mfu: 3.8% | epoch: 1 | remaining: 142s    
step 00882 (52.7%) | loss: 3.360712 | lrm: 0.48 | dt: 181ms | tok/sec: 361,427 | mfu: 3.8% | epoch: 1 | remaining: 142s    
step 00883 (52.7%) | loss: 3.355618 | lrm: 0.48 | dt: 184ms | tok/sec: 356,967 | mfu: 3.8% | epoch: 1 | remaining: 142s    
step 00884 (52.8%) | loss: 3.352125 | lrm: 0.48 | dt: 186ms | tok/sec: 352,768 | mfu: 3.7% | epoch: 1 | remaining: 141s    
step 00885 (52.8%) | loss: 3.357185 | lrm: 0.48 | dt: 184ms | tok/sec: 356,061 | mfu: 3.8% | epoch: 1 | remaining: 141s    
step 00886 (52.9%) | loss: 3.353612 | lrm: 0.48 | dt: 183ms | tok/sec: 357,219 | mfu: 3.8% | epoch: 1 | remaining: 141s    
step 00887 (53.0%) | loss: 3.360969 | lrm: 0.48 | dt: 180ms | tok/sec: 363,248 | mfu: 3.8% | epoch: 1 | remaining: 141s    
step 00888 (53.0%) | loss: 3.355536 | lrm: 0.48 | dt: 181ms | tok/sec: 362,855 | mfu: 3.8% | epoch: 1 | remaining: 141s    
step 00889 (53.1%) | loss: 3.356522 | lrm: 0.48 | dt: 185ms | tok/sec: 354,865 | mfu: 3.8% | epoch: 1 | remaining: 141s    
step 00890 (53.1%) | loss: 3.361177 | lrm: 0.48 | dt: 184ms | tok/sec: 355,226 | mfu: 3.8% | epoch: 1 | remaining: 140s    
step 00891 (53.2%) | loss: 3.352230 | lrm: 0.48 | dt: 186ms | tok/sec: 352,281 | mfu: 3.7% | epoch: 1 | remaining: 140s    
step 00892 (53.3%) | loss: 3.354010 | lrm: 0.48 | dt: 183ms | tok/sec: 358,164 | mfu: 3.8% | epoch: 1 | remaining: 140s    
step 00893 (53.3%) | loss: 3.359085 | lrm: 0.48 | dt: 181ms | tok/sec: 362,482 | mfu: 3.8% | epoch: 1 | remaining: 140s    
step 00894 (53.4%) | loss: 3.358080 | lrm: 0.48 | dt: 181ms | tok/sec: 362,438 | mfu: 3.8% | epoch: 1 | remaining: 140s    
step 00895 (53.4%) | loss: 3.363190 | lrm: 0.48 | dt: 183ms | tok/sec: 357,590 | mfu: 3.8% | epoch: 1 | remaining: 139s    
step 00896 (53.5%) | loss: 3.370188 | lrm: 0.48 | dt: 184ms | tok/sec: 356,730 | mfu: 3.8% | epoch: 1 | remaining: 139s    
step 00897 (53.6%) | loss: 3.373533 | lrm: 0.48 | dt: 186ms | tok/sec: 352,390 | mfu: 3.7% | epoch: 1 | remaining: 139s    
step 00898 (53.6%) | loss: 3.378925 | lrm: 0.47 | dt: 184ms | tok/sec: 356,250 | mfu: 3.8% | epoch: 1 | remaining: 139s    
step 00899 (53.7%) | loss: 3.377253 | lrm: 0.47 | dt: 181ms | tok/sec: 363,050 | mfu: 3.8% | epoch: 1 | remaining: 139s    
step 00900 (53.7%) | loss: 3.366164 | lrm: 0.47 | dt: 181ms | tok/sec: 362,722 | mfu: 3.8% | epoch: 1 | remaining: 139s    
step 00901 (53.8%) | loss: 3.372369 | lrm: 0.47 | dt: 183ms | tok/sec: 357,446 | mfu: 3.8% | epoch: 1 | remaining: 138s    
step 00902 (53.9%) | loss: 3.377432 | lrm: 0.47 | dt: 185ms | tok/sec: 354,786 | mfu: 3.8% | epoch: 1 | remaining: 138s    
step 00903 (53.9%) | loss: 3.378145 | lrm: 0.47 | dt: 186ms | tok/sec: 352,087 | mfu: 3.7% | epoch: 1 | remaining: 138s    
step 00904 (54.0%) | loss: 3.370039 | lrm: 0.47 | dt: 184ms | tok/sec: 355,478 | mfu: 3.8% | epoch: 1 | remaining: 138s    
step 00905 (54.1%) | loss: 3.364667 | lrm: 0.47 | dt: 180ms | tok/sec: 363,886 | mfu: 3.9% | epoch: 1 | remaining: 138s    
step 00906 (54.1%) | loss: 3.365223 | lrm: 0.47 | dt: 181ms | tok/sec: 362,730 | mfu: 3.8% | epoch: 1 | remaining: 137s    
step 00907 (54.2%) | loss: 3.376705 | lrm: 0.47 | dt: 183ms | tok/sec: 357,563 | mfu: 3.8% | epoch: 1 | remaining: 137s    
step 00908 (54.2%) | loss: 3.373557 | lrm: 0.47 | dt: 185ms | tok/sec: 354,745 | mfu: 3.8% | epoch: 1 | remaining: 137s    
step 00909 (54.3%) | loss: 3.358662 | lrm: 0.47 | dt: 186ms | tok/sec: 352,050 | mfu: 3.7% | epoch: 1 | remaining: 137s    
step 00910 (54.4%) | loss: 3.359823 | lrm: 0.47 | dt: 182ms | tok/sec: 359,211 | mfu: 3.8% | epoch: 1 | remaining: 137s    
step 00911 (54.4%) | loss: 3.361839 | lrm: 0.47 | dt: 181ms | tok/sec: 362,719 | mfu: 3.8% | epoch: 1 | remaining: 137s    
step 00912 (54.5%) | loss: 3.372360 | lrm: 0.47 | dt: 181ms | tok/sec: 362,082 | mfu: 3.8% | epoch: 1 | remaining: 136s    
step 00913 (54.5%) | loss: 3.375490 | lrm: 0.47 | dt: 185ms | tok/sec: 354,889 | mfu: 3.8% | epoch: 1 | remaining: 136s    
step 00914 (54.6%) | loss: 3.369762 | lrm: 0.46 | dt: 184ms | tok/sec: 356,516 | mfu: 3.8% | epoch: 1 | remaining: 136s    
step 00915 (54.7%) | loss: 3.373306 | lrm: 0.46 | dt: 186ms | tok/sec: 353,101 | mfu: 3.7% | epoch: 1 | remaining: 136s    
step 00916 (54.7%) | loss: 3.364390 | lrm: 0.46 | dt: 182ms | tok/sec: 360,554 | mfu: 3.8% | epoch: 1 | remaining: 136s    
step 00917 (54.8%) | loss: 3.361148 | lrm: 0.46 | dt: 184ms | tok/sec: 356,171 | mfu: 3.8% | epoch: 1 | remaining: 135s    
step 00918 (54.8%) | loss: 3.357821 | lrm: 0.46 | dt: 180ms | tok/sec: 364,373 | mfu: 3.9% | epoch: 1 | remaining: 135s    
step 00919 (54.9%) | loss: 3.352117 | lrm: 0.46 | dt: 183ms | tok/sec: 357,621 | mfu: 3.8% | epoch: 1 | remaining: 135s    
step 00920 (55.0%) | loss: 3.360472 | lrm: 0.46 | dt: 184ms | tok/sec: 356,299 | mfu: 3.8% | epoch: 1 | remaining: 135s    
step 00921 (55.0%) | loss: 3.363474 | lrm: 0.46 | dt: 185ms | tok/sec: 355,071 | mfu: 3.8% | epoch: 1 | remaining: 135s    
step 00922 (55.1%) | loss: 3.367402 | lrm: 0.46 | dt: 185ms | tok/sec: 354,118 | mfu: 3.7% | epoch: 1 | remaining: 135s    
step 00923 (55.2%) | loss: 3.373099 | lrm: 0.46 | dt: 181ms | tok/sec: 361,172 | mfu: 3.8% | epoch: 1 | remaining: 134s    
step 00924 (55.2%) | loss: 3.369131 | lrm: 0.46 | dt: 181ms | tok/sec: 362,238 | mfu: 3.8% | epoch: 1 | remaining: 134s    
step 00925 (55.3%) | loss: 3.372101 | lrm: 0.46 | dt: 182ms | tok/sec: 359,177 | mfu: 3.8% | epoch: 1 | remaining: 134s    
step 00926 (55.3%) | loss: 3.366463 | lrm: 0.46 | dt: 184ms | tok/sec: 355,488 | mfu: 3.8% | epoch: 1 | remaining: 134s    
step 00927 (55.4%) | loss: 3.375841 | lrm: 0.46 | dt: 185ms | tok/sec: 353,319 | mfu: 3.7% | epoch: 1 | remaining: 134s    
step 00928 (55.5%) | loss: 3.377856 | lrm: 0.46 | dt: 186ms | tok/sec: 352,370 | mfu: 3.7% | epoch: 1 | remaining: 133s    
step 00929 (55.5%) | loss: 3.380193 | lrm: 0.46 | dt: 180ms | tok/sec: 363,183 | mfu: 3.8% | epoch: 1 | remaining: 133s    
step 00930 (55.6%) | loss: 3.379694 | lrm: 0.46 | dt: 181ms | tok/sec: 362,887 | mfu: 3.8% | epoch: 1 | remaining: 133s    
step 00931 (55.6%) | loss: 3.369269 | lrm: 0.45 | dt: 183ms | tok/sec: 358,894 | mfu: 3.8% | epoch: 1 | remaining: 133s    
step 00932 (55.7%) | loss: 3.365676 | lrm: 0.45 | dt: 183ms | tok/sec: 357,241 | mfu: 3.8% | epoch: 1 | remaining: 133s    
step 00933 (55.8%) | loss: 3.374675 | lrm: 0.45 | dt: 184ms | tok/sec: 355,827 | mfu: 3.8% | epoch: 1 | remaining: 133s    
step 00934 (55.8%) | loss: 3.364940 | lrm: 0.45 | dt: 184ms | tok/sec: 355,926 | mfu: 3.8% | epoch: 1 | remaining: 132s    
step 00935 (55.9%) | loss: 3.359027 | lrm: 0.45 | dt: 183ms | tok/sec: 358,899 | mfu: 3.8% | epoch: 1 | remaining: 132s    
step 00936 (55.9%) | loss: 3.346026 | lrm: 0.45 | dt: 181ms | tok/sec: 361,266 | mfu: 3.8% | epoch: 1 | remaining: 132s    
step 00937 (56.0%) | loss: 3.347722 | lrm: 0.45 | dt: 182ms | tok/sec: 360,372 | mfu: 3.8% | epoch: 1 | remaining: 132s    
step 00938 (56.1%) | loss: 3.345912 | lrm: 0.45 | dt: 183ms | tok/sec: 357,163 | mfu: 3.8% | epoch: 1 | remaining: 132s    
step 00939 (56.1%) | loss: 3.347111 | lrm: 0.45 | dt: 183ms | tok/sec: 357,566 | mfu: 3.8% | epoch: 1 | remaining: 131s    
step 00940 (56.2%) | loss: 3.350181 | lrm: 0.45 | dt: 184ms | tok/sec: 355,249 | mfu: 3.8% | epoch: 1 | remaining: 131s    
step 00941 (56.3%) | loss: 3.350316 | lrm: 0.45 | dt: 184ms | tok/sec: 355,881 | mfu: 3.8% | epoch: 1 | remaining: 131s    
step 00942 (56.3%) | loss: 3.355069 | lrm: 0.45 | dt: 181ms | tok/sec: 362,561 | mfu: 3.8% | epoch: 1 | remaining: 131s    
step 00943 (56.4%) | loss: 3.361385 | lrm: 0.45 | dt: 181ms | tok/sec: 362,393 | mfu: 3.8% | epoch: 1 | remaining: 131s    
step 00944 (56.4%) | loss: 3.365399 | lrm: 0.45 | dt: 184ms | tok/sec: 356,714 | mfu: 3.8% | epoch: 1 | remaining: 131s    
step 00945 (56.5%) | loss: 3.375797 | lrm: 0.45 | dt: 182ms | tok/sec: 359,299 | mfu: 3.8% | epoch: 1 | remaining: 130s    
step 00946 (56.6%) | loss: 3.371617 | lrm: 0.45 | dt: 184ms | tok/sec: 356,236 | mfu: 3.8% | epoch: 1 | remaining: 130s    
step 00947 (56.6%) | loss: 3.370766 | lrm: 0.45 | dt: 184ms | tok/sec: 356,645 | mfu: 3.8% | epoch: 1 | remaining: 130s    
step 00948 (56.7%) | loss: 3.373136 | lrm: 0.44 | dt: 185ms | tok/sec: 354,896 | mfu: 3.8% | epoch: 1 | remaining: 130s    
step 00949 (56.7%) | loss: 3.372267 | lrm: 0.44 | dt: 182ms | tok/sec: 359,584 | mfu: 3.8% | epoch: 1 | remaining: 130s    
step 00950 (56.8%) | loss: 3.362972 | lrm: 0.44 | dt: 182ms | tok/sec: 359,857 | mfu: 3.8% | epoch: 1 | remaining: 129s    
step 00951 (56.9%) | loss: 3.367718 | lrm: 0.44 | dt: 182ms | tok/sec: 359,207 | mfu: 3.8% | epoch: 1 | remaining: 129s    
step 00952 (56.9%) | loss: 3.361932 | lrm: 0.44 | dt: 184ms | tok/sec: 356,491 | mfu: 3.8% | epoch: 1 | remaining: 129s    
step 00953 (57.0%) | loss: 3.353475 | lrm: 0.44 | dt: 185ms | tok/sec: 354,258 | mfu: 3.8% | epoch: 1 | remaining: 129s    
step 00954 (57.0%) | loss: 3.350659 | lrm: 0.44 | dt: 184ms | tok/sec: 355,458 | mfu: 3.8% | epoch: 1 | remaining: 129s    
step 00955 (57.1%) | loss: 3.351102 | lrm: 0.44 | dt: 180ms | tok/sec: 364,278 | mfu: 3.9% | epoch: 1 | remaining: 129s    
step 00956 (57.2%) | loss: 3.346136 | lrm: 0.44 | dt: 182ms | tok/sec: 359,137 | mfu: 3.8% | epoch: 1 | remaining: 128s    
step 00957 (57.2%) | loss: 3.341927 | lrm: 0.44 | dt: 183ms | tok/sec: 358,105 | mfu: 3.8% | epoch: 1 | remaining: 128s    
step 00958 (57.3%) | loss: 3.341524 | lrm: 0.44 | dt: 184ms | tok/sec: 356,341 | mfu: 3.8% | epoch: 1 | remaining: 128s    
step 00959 (57.3%) | loss: 3.345448 | lrm: 0.44 | dt: 186ms | tok/sec: 353,192 | mfu: 3.7% | epoch: 1 | remaining: 128s    
step 00960 (57.4%) | loss: 3.339766 | lrm: 0.44 | dt: 187ms | tok/sec: 350,947 | mfu: 3.7% | epoch: 1 | remaining: 128s    
step 00961 (57.5%) | loss: 3.343094 | lrm: 0.44 | dt: 180ms | tok/sec: 363,874 | mfu: 3.9% | epoch: 1 | remaining: 127s    
step 00962 (57.5%) | loss: 3.350165 | lrm: 0.44 | dt: 180ms | tok/sec: 363,218 | mfu: 3.8% | epoch: 1 | remaining: 127s    
step 00963 (57.6%) | loss: 3.350593 | lrm: 0.44 | dt: 183ms | tok/sec: 358,386 | mfu: 3.8% | epoch: 1 | remaining: 127s    
step 00964 (57.7%) | loss: 3.349532 | lrm: 0.43 | dt: 185ms | tok/sec: 353,917 | mfu: 3.7% | epoch: 1 | remaining: 127s    
step 00965 (57.7%) | loss: 3.349756 | lrm: 0.43 | dt: 187ms | tok/sec: 351,311 | mfu: 3.7% | epoch: 1 | remaining: 127s    
step 00966 (57.8%) | loss: 3.348679 | lrm: 0.43 | dt: 180ms | tok/sec: 363,891 | mfu: 3.9% | epoch: 1 | remaining: 126s    
step 00967 (57.8%) | loss: 3.351181 | lrm: 0.43 | dt: 180ms | tok/sec: 363,081 | mfu: 3.8% | epoch: 1 | remaining: 126s    
step 00968 (57.9%) | loss: 3.356280 | lrm: 0.43 | dt: 183ms | tok/sec: 358,600 | mfu: 3.8% | epoch: 1 | remaining: 126s    
step 00969 (58.0%) | loss: 3.352681 | lrm: 0.43 | dt: 183ms | tok/sec: 358,634 | mfu: 3.8% | epoch: 1 | remaining: 126s    
step 00970 (58.0%) | loss: 3.355183 | lrm: 0.43 | dt: 185ms | tok/sec: 354,174 | mfu: 3.8% | epoch: 1 | remaining: 126s    
step 00971 (58.1%) | loss: 3.356057 | lrm: 0.43 | dt: 185ms | tok/sec: 353,294 | mfu: 3.7% | epoch: 1 | remaining: 126s    
step 00972 (58.1%) | loss: 3.353811 | lrm: 0.43 | dt: 184ms | tok/sec: 355,407 | mfu: 3.8% | epoch: 1 | remaining: 125s    
step 00973 (58.2%) | loss: 3.346735 | lrm: 0.43 | dt: 181ms | tok/sec: 362,972 | mfu: 3.8% | epoch: 1 | remaining: 125s    
step 00974 (58.3%) | loss: 3.344124 | lrm: 0.43 | dt: 182ms | tok/sec: 360,879 | mfu: 3.8% | epoch: 1 | remaining: 125s    
step 00975 (58.3%) | loss: 3.339865 | lrm: 0.43 | dt: 183ms | tok/sec: 358,581 | mfu: 3.8% | epoch: 1 | remaining: 125s    
step 00976 (58.4%) | loss: 3.330236 | lrm: 0.43 | dt: 185ms | tok/sec: 354,969 | mfu: 3.8% | epoch: 1 | remaining: 125s    
step 00977 (58.4%) | loss: 3.333102 | lrm: 0.43 | dt: 187ms | tok/sec: 351,160 | mfu: 3.7% | epoch: 1 | remaining: 124s    
step 00978 (58.5%) | loss: 3.322644 | lrm: 0.43 | dt: 182ms | tok/sec: 359,618 | mfu: 3.8% | epoch: 1 | remaining: 124s    
step 00979 (58.6%) | loss: 3.306625 | lrm: 0.43 | dt: 181ms | tok/sec: 362,590 | mfu: 3.8% | epoch: 1 | remaining: 124s    
step 00980 (58.6%) | loss: 3.305119 | lrm: 0.43 | dt: 183ms | tok/sec: 359,041 | mfu: 3.8% | epoch: 1 | remaining: 124s    
step 00981 (58.7%) | loss: 3.293516 | lrm: 0.42 | dt: 183ms | tok/sec: 357,621 | mfu: 3.8% | epoch: 1 | remaining: 124s    
step 00982 (58.8%) | loss: 3.293856 | lrm: 0.42 | dt: 185ms | tok/sec: 353,633 | mfu: 3.7% | epoch: 1 | remaining: 124s    
step 00983 (58.8%) | loss: 3.294876 | lrm: 0.42 | dt: 186ms | tok/sec: 352,101 | mfu: 3.7% | epoch: 1 | remaining: 123s    
step 00984 (58.9%) | loss: 3.294820 | lrm: 0.42 | dt: 180ms | tok/sec: 363,305 | mfu: 3.8% | epoch: 1 | remaining: 123s    
step 00985 (58.9%) | loss: 3.294512 | lrm: 0.42 | dt: 181ms | tok/sec: 361,462 | mfu: 3.8% | epoch: 1 | remaining: 123s    
step 00986 (59.0%) | loss: 3.293495 | lrm: 0.42 | dt: 183ms | tok/sec: 358,467 | mfu: 3.8% | epoch: 1 | remaining: 123s    
step 00987 (59.1%) | loss: 3.299936 | lrm: 0.42 | dt: 184ms | tok/sec: 356,586 | mfu: 3.8% | epoch: 1 | remaining: 123s    
step 00988 (59.1%) | loss: 3.300234 | lrm: 0.42 | dt: 185ms | tok/sec: 354,167 | mfu: 3.8% | epoch: 1 | remaining: 122s    
step 00989 (59.2%) | loss: 3.298712 | lrm: 0.42 | dt: 184ms | tok/sec: 356,280 | mfu: 3.8% | epoch: 1 | remaining: 122s    
step 00990 (59.2%) | loss: 3.298300 | lrm: 0.42 | dt: 184ms | tok/sec: 356,951 | mfu: 3.8% | epoch: 1 | remaining: 122s    
step 00991 (59.3%) | loss: 3.308338 | lrm: 0.42 | dt: 179ms | tok/sec: 365,386 | mfu: 3.9% | epoch: 1 | remaining: 122s    
step 00992 (59.4%) | loss: 3.314815 | lrm: 0.42 | dt: 183ms | tok/sec: 358,862 | mfu: 3.8% | epoch: 1 | remaining: 122s    
step 00993 (59.4%) | loss: 3.306277 | lrm: 0.42 | dt: 183ms | tok/sec: 357,665 | mfu: 3.8% | epoch: 1 | remaining: 122s    
step 00994 (59.5%) | loss: 3.312049 | lrm: 0.42 | dt: 184ms | tok/sec: 355,390 | mfu: 3.8% | epoch: 1 | remaining: 121s    
step 00995 (59.5%) | loss: 3.313401 | lrm: 0.42 | dt: 187ms | tok/sec: 350,811 | mfu: 3.7% | epoch: 1 | remaining: 121s    
step 00996 (59.6%) | loss: 3.315833 | lrm: 0.42 | dt: 181ms | tok/sec: 361,302 | mfu: 3.8% | epoch: 1 | remaining: 121s    
step 00997 (59.7%) | loss: 3.324138 | lrm: 0.42 | dt: 181ms | tok/sec: 362,572 | mfu: 3.8% | epoch: 1 | remaining: 121s    
step 00998 (59.7%) | loss: 3.319965 | lrm: 0.41 | dt: 182ms | tok/sec: 360,810 | mfu: 3.8% | epoch: 1 | remaining: 121s    
step 00999 (59.8%) | loss: 3.330837 | lrm: 0.41 | dt: 183ms | tok/sec: 357,447 | mfu: 3.8% | epoch: 1 | remaining: 120s    
step 01000 (59.9%) | loss: 3.333206 | lrm: 0.41 | dt: 184ms | tok/sec: 355,413 | mfu: 3.8% | epoch: 1 | remaining: 120s    
step 01001 (59.9%) | loss: 3.334060 | lrm: 0.41 | dt: 185ms | tok/sec: 353,646 | mfu: 3.7% | epoch: 1 | remaining: 120s    
step 01002 (60.0%) | loss: 3.327836 | lrm: 0.41 | dt: 184ms | tok/sec: 355,694 | mfu: 3.8% | epoch: 1 | remaining: 120s    
step 01003 (60.0%) | loss: 3.331623 | lrm: 0.41 | dt: 180ms | tok/sec: 363,928 | mfu: 3.9% | epoch: 1 | remaining: 120s    
step 01004 (60.1%) | loss: 3.345305 | lrm: 0.41 | dt: 182ms | tok/sec: 360,720 | mfu: 3.8% | epoch: 1 | remaining: 120s    
step 01005 (60.2%) | loss: 3.330728 | lrm: 0.41 | dt: 183ms | tok/sec: 358,447 | mfu: 3.8% | epoch: 1 | remaining: 119s    
step 01006 (60.2%) | loss: 3.329581 | lrm: 0.41 | dt: 184ms | tok/sec: 357,003 | mfu: 3.8% | epoch: 1 | remaining: 119s    
step 01007 (60.3%) | loss: 3.331693 | lrm: 0.41 | dt: 185ms | tok/sec: 354,807 | mfu: 3.8% | epoch: 1 | remaining: 119s    
step 01008 (60.3%) | loss: 3.325693 | lrm: 0.41 | dt: 183ms | tok/sec: 358,296 | mfu: 3.8% | epoch: 1 | remaining: 119s    
step 01009 (60.4%) | loss: 3.318600 | lrm: 0.41 | dt: 184ms | tok/sec: 356,031 | mfu: 3.8% | epoch: 1 | remaining: 119s    
step 01010 (60.5%) | loss: 3.312525 | lrm: 0.41 | dt: 181ms | tok/sec: 362,820 | mfu: 3.8% | epoch: 1 | remaining: 118s    
step 01011 (60.5%) | loss: 3.314649 | lrm: 0.41 | dt: 183ms | tok/sec: 358,787 | mfu: 3.8% | epoch: 1 | remaining: 118s    
step 01012 (60.6%) | loss: 3.314030 | lrm: 0.41 | dt: 184ms | tok/sec: 356,402 | mfu: 3.8% | epoch: 1 | remaining: 118s    
step 01013 (60.6%) | loss: 3.309813 | lrm: 0.41 | dt: 186ms | tok/sec: 353,085 | mfu: 3.7% | epoch: 1 | remaining: 118s    
step 01014 (60.7%) | loss: 3.315742 | lrm: 0.41 | dt: 186ms | tok/sec: 353,128 | mfu: 3.7% | epoch: 1 | remaining: 118s    
step 01015 (60.8%) | loss: 3.312791 | lrm: 0.40 | dt: 181ms | tok/sec: 363,064 | mfu: 3.8% | epoch: 1 | remaining: 118s    
step 01016 (60.8%) | loss: 3.309949 | lrm: 0.40 | dt: 181ms | tok/sec: 362,288 | mfu: 3.8% | epoch: 1 | remaining: 117s    
step 01017 (60.9%) | loss: 3.309514 | lrm: 0.40 | dt: 182ms | tok/sec: 359,935 | mfu: 3.8% | epoch: 1 | remaining: 117s    
step 01018 (61.0%) | loss: 3.311867 | lrm: 0.40 | dt: 183ms | tok/sec: 357,386 | mfu: 3.8% | epoch: 1 | remaining: 117s    
step 01019 (61.0%) | loss: 3.303730 | lrm: 0.40 | dt: 185ms | tok/sec: 353,981 | mfu: 3.7% | epoch: 1 | remaining: 117s    
step 01020 (61.1%) | loss: 3.315369 | lrm: 0.40 | dt: 185ms | tok/sec: 355,068 | mfu: 3.8% | epoch: 1 | remaining: 117s    
step 01021 (61.1%) | loss: 3.315939 | lrm: 0.40 | dt: 181ms | tok/sec: 361,740 | mfu: 3.8% | epoch: 1 | remaining: 116s    
step 01022 (61.2%) | loss: 3.316000 | lrm: 0.40 | dt: 180ms | tok/sec: 363,685 | mfu: 3.9% | epoch: 1 | remaining: 116s    
step 01023 (61.3%) | loss: 3.320393 | lrm: 0.40 | dt: 183ms | tok/sec: 358,211 | mfu: 3.8% | epoch: 1 | remaining: 116s    
step 01024 (61.3%) | loss: 3.321401 | lrm: 0.40 | dt: 185ms | tok/sec: 354,917 | mfu: 3.8% | epoch: 1 | remaining: 116s    
step 01025 (61.4%) | loss: 3.311112 | lrm: 0.40 | dt: 185ms | tok/sec: 354,338 | mfu: 3.8% | epoch: 1 | remaining: 116s    
step 01026 (61.4%) | loss: 3.311943 | lrm: 0.40 | dt: 184ms | tok/sec: 355,425 | mfu: 3.8% | epoch: 1 | remaining: 115s    
